gutenberg id,title,authors
10469,Johnny Crow's Garden,"frozenset({'Brooke, L. Leslie (Leonard Leslie)'})"
1046,God The Invisible King,"frozenset({'Wells, H. G. (Herbert George)'})"
10470,Audio: Nine Hundred Miles,"frozenset({'McGuinn, Roger'})"
10471,"The World's Greatest Books, Vol. I",frozenset()
10472,Arthurian Chronicles: Roman de Brut,frozenset({'Wace'})
10473,The Heart of the Range,"frozenset({'White, William Patterson'})"
10474,The Lost Naval Papers,"frozenset({'Copplestone, Bennet'})"
10475,"The Mirror of Literature, Amusement, and Instruction, Vol. 12,",frozenset({'Various'})
10476,The Vanishing Man,"frozenset({'Freeman, R. Austin (Richard Austin)'})"
10477,"Beacon Lights of History, Volume I","frozenset({'Lord, John'})"
10478,"Beacon Lights of History, Volume II","frozenset({'Lord, John'})"
10479,Our Churches and Chapels,frozenset({'Atticus'})
1047,The New Machiavelli,"frozenset({'Wells, H. G. (Herbert George)'})"
10482,The Young Mother,"frozenset({'Alcott, William A. (William Andrus)'})"
10483,Short Stories Old and New,frozenset()
10484,"Beacon Lights of History, Volume III","frozenset({'Lord, John'})"
10485,Experiments in Government and the Essentials of the Constitution,"frozenset({'Root, Elihu'})"
10486,Audio: Twelve Gates to the City,"frozenset({'McGuinn, Roger'})"
10487,Audio: Alabama Bound,"frozenset({'McGuinn, Roger'})"
10488,Audio: Away in a Manger,"frozenset({'McGuinn, Roger'})"
10489,An English Garner,frozenset()
10489,_Religion_ in the of which in particular I have spoken very,frozenset()
1048,The Ruling Passion,"frozenset({'Van Dyke, Henry'})"
10490,The Golden Legend,"frozenset({'Longfellow, Henry Wadsworth'})"
10491,Practice Book,"frozenset({'Powers, Leland Todd'})"
10494,Henry the Second,"frozenset({'Green, Alice Stopford'})"
10495,Under King Constantine,"frozenset({'Trask, Katrina'})"
10496,Red Masquerade,"frozenset({'Vance, Louis Joseph'})"
10497,Audio: Battle Hymn of the Republic,"frozenset({'McGuinn, Roger'})"
10498,Audio: Ain' No Mo' Cane on De Brazis,"frozenset({'McGuinn, Roger'})"
10499,Audio: Delia's Gone,"frozenset({'McGuinn, Roger'})"
1049,Vanished Arizona,"frozenset({'Summerhayes, Martha'})"
104,Franklin Delano Roosevelt's First Inaugural Address,"frozenset({'Roosevelt, Franklin D. (Franklin Delano)'})"
10500,Audio: Heave Away,"frozenset({'McGuinn, Roger'})"
10501,Audio: The Whale Catchers,"frozenset({'McGuinn, Roger'})"
10503,Audio: John Henry,"frozenset({'McGuinn, Roger'})"
10504,Audio: Liverpool Gals,"frozenset({'McGuinn, Roger'})"
10505,Audio: Waltzing Matilda,"frozenset({'McGuinn, Roger'})"
10508,The Sorrows of a Show Girl,"frozenset({'McGaffey, Kenneth'})"
10509,The Bars of Iron,"frozenset({'Dell, Ethel M. (Ethel May)'})"
1050,Dark Lady of the Sonnets,"frozenset({'Shaw, Bernard'})"
10510,Inaugural Presidential Address,"frozenset({'Clinton, Bill'})"
10511,A Rogue by Compulsion,"frozenset({'Bridges, Victor'})"
10513,On the Seashore,"frozenset({'Smith, R. Cadwallader'})"
